shifr,nazva_normy,odynytsya,typ_resursu,kod,nazva_resursu,odynytsya_resursu,vytrata,tsina_uah,vartist_uah,priorytet_prytulok
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.6936,1200,2032.34,True
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3291,700,930.35,True
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,25.69,55,1412.95,True
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.2846,120,154.15,True
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.258,95.0,119.51,True
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.694,110.0,186.34,True
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.7422,1200,2090.64,True
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3615,700,953.02,True
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,26.38,55,1450.9,True
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.3191,120,158.29,True
